Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
6,9.8,6.2,8.1,35,217
6,9.8,6.2,8.1,35,217
6,9.8,6.5,8.4,34,224
6,9.8,6.5,8.4,34,224
6,10.2,7.8,9.0,31,244
6,12.4,8.7,10.7,26,290
4,7.6,5.5,6.7,42,181
4,7.6,5.5,6.7,42,181
6,9.2,6.4,7.9,36,213
6,18.4,12.2,15.6,18,250
6,19.4,13.0,16.5,17,264
8,23.3,16.1,20.1,14,322
8,25.7,17.8,22.1,13,354
4,8.7,5.1,7.1,40,192
6,18.8,13.1,16.2,17,259
6,19.8,13.6,17.0,17,272
8,23.5,17.7,20.9,14,334
8,23.7,18.8,21.5,13,344
8,23.9,18.5,21.5,13,344
8,25.3,19.3,22.6,12,362
8,23.9,18.5,21.5,13,344
8,25.3,19.3,22.6,12,362
8,30.0,20.4,25.7,11,411
8,30.2,20.5,25.8,11,413
6,16.7,11.3,14.3,20,229
6,18.9,14.2,16.8,17,269
8,19.5,13.7,16.9,17,270
6,20.0,15.1,17.8,16,285
8,19.9,14.2,17.3,16,277
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
6,17.0,11.2,14.4,20,230
6,17.0,11.2,14.4,20,230
6,17.3,11.7,14.8,19,237
6,16.8,10.3,13.9,20,222
6,19.7,13.3,16.8,17,269
6,17.0,11.2,14.4,20,230
6,17.3,11.7,14.8,19,237
6,18.3,12.6,15.7,18,251
6,16.8,10.3,13.9,20,222
4,14.2,9.8,12.2,23,195
6,17.7,13.0,15.6,18,250
6,19.2,13.1,16.5,17,264
6,18.9,12.9,16.2,17,259
8,24.1,19.2,21.9,13,350
8,24.9,19.6,22.5,13,360
8,25.5,20.0,23.0,12,368
8,26.7,20.5,23.9,12,382
8,24.5,18.0,21.6,13,346
6,18.3,12.9,15.9,18,254
6,18.9,13.9,16.7,17,267
6,18.8,13.7,16.5,17,264
6,18.8,13.7,16.5,17,264
8,22.1,16.7,19.7,14,315
8,22.1,16.7,19.7,14,315
6,20.2,15.3,18.0,16,288
6,20.2,15.3,18.0,16,288
8,22.4,17.0,20.0,14,320
8,22.4,16.9,19.9,14,318
4,11.7,8.5,10.3,27,165
4,11.7,8.5,10.3,27,165
4,11.9,8.9,10.6,27,170
4,11.6,8.3,10.1,28,162
6,17.0,11.1,14.3,20,229
6,18.4,12.5,15.7,18,251
8,23.5,17.7,20.9,14,334
8,23.7,18.8,21.5,13,344
8,23.9,18.5,21.5,13,344
8,25.3,19.3,22.6,12,362
8,23.9,18.5,21.5,13,344
8,25.3,19.3,22.6,12,362
8,30.0,20.4,25.7,11,411
8,30.2,20.5,25.8,11,413
6,18.9,14.2,16.8,17,269
8,19.5,13.7,16.9,17,270
6,20.0,15.1,17.8,16,285
8,19.9,14.2,17.3,16,277
6,18.8,13.1,16.2,17,259
6,19.8,13.6,17.0,17,272
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
8,23.3,16.1,20.1,14,322
8,25.7,17.8,22.1,13,354
8,21.5,14.6,18.4,15,294
8,21.5,14.6,18.4,15,294
8,21.3,14.1,18.1,16,290
8,20.6,13.6,17.5,16,280
8,20.6,13.6,17.5,16,280
6,11.2,8.4,9.9,29,267
6,17.7,13.0,15.6,18,250
8,25.0,16.9,21.4,13,342
6,19.4,14.9,17.4,16,278
8,24.0,16.6,20.7,14,331
6,19.4,14.8,17.3,16,277
8,25.0,16.9,21.4,13,342
8,24.5,18.0,21.6,13,346
6,16.4,11.1,14.0,20,224
4,8.5,5.7,7.2,39,194
6,13.4,10.2,12.0,24,324
4,9.6,7.1,8.5,33,230
6,17.8,13.8,16.0,18,256
6,11.8,8.5,10.3,27,278
6,11.8,8.1,10.2,28,277
6,12.1,8.8,10.6,27,286
6,20.5,14.5,17.8,16,285
6,11.6,8.4,10.2,28,275
6,19.4,13.6,16.8,17,269
6,18.6,12.7,15.9,18,254
4,8.4,5.9,7.4,38,200
4,8.8,6.1,7.7,37,208
4,8.1,6.4,7.4,38,198
4,8.3,6.0,7.3,39,196
4,8.1,6.4,7.4,38,198
4,8.3,6.0,7.3,39,196
4,7.8,5.9,6.9,41,180
6,11.8,8.1,10.2,28,277
4,7.6,5.5,6.5,43,177
6,9.8,6.2,8.1,35,217
6,9.8,6.2,8.1,35,217
6,9.8,6.5,8.4,34,224
6,9.8,6.5,8.4,34,224
6,10.2,7.8,9.0,31,244
6,12.4,8.7,10.7,26,290
4,7.6,5.5,6.7,42,181
4,7.6,5.5,6.7,42,181
6,9.2,6.3,7.9,36,213
6,10.2,7.1,8.8,32,238
4,8.6,6.9,7.9,36,213
6,9.9,7.2,8.7,32,235
6,18.7,12.4,15.8,18,253
6,18.6,12.6,15.9,18,254
4,8.7,5.1,7.1,40,192
4,15.6,10.8,13.4,21,214
4,16.3,11.6,14.2,20,227
8,30.3,20.5,25.9,11,414
8,30.6,20.6,26.1,11,418
6,17.0,11.5,14.5,19,232
6,19.3,14.3,17.1,17,274
8,19.9,13.8,17.2,16,275
6,20.3,15.2,18.0,16,288
8,20.2,14.3,17.5,16,280
8,20.2,13.6,17.2,16,275
8,22.1,15.4,19.1,15,306
8,20.2,13.6,17.2,16,275
8,20.5,14.0,17.6,16,282
4,13.6,8.5,11.3,25,181
6,16.5,10.1,13.6,21,218
6,16.9,10.8,14.1,20,226
6,16.8,10.3,13.9,20,222
6,17.3,11.7,14.8,19,237
6,19.7,13.3,16.8,17,269
6,18.7,12.4,15.9,18,254
6,16.8,10.3,13.9,20,222
6,17.3,11.7,14.8,19,237
4,13.3,9.3,11.5,25,184
6,17.7,13.0,15.6,18,250
6,19.2,13.1,16.4,17,262
6,18.9,12.9,16.2,17,259
6,18.6,13.0,16.1,18,258
6,19.2,14.1,16.9,17,270
6,17.9,13.0,15.7,18,251
8,20.7,14.3,17.9,16,286
6,18.9,14.2,16.8,17,269
8,21.7,15.1,18.7,15,299
4,11.9,8.5,10.4,27,166
4,12.2,8.6,10.6,27,170
4,12.4,9.1,10.9,26,174
6,22.1,16.7,19.7,14,315
6,17.4,11.3,14.7,19,235
6,18.8,12.6,16.0,18,256
8,30.3,20.5,25.9,11,414
8,30.6,20.6,26.1,11,418
6,19.3,14.3,17.1,17,274
8,19.9,13.8,17.2,16,275
6,20.3,15.2,18.0,16,288
8,20.2,14.3,17.5,16,280
4,15.6,10.8,13.4,21,214
8,20.2,13.6,17.2,16,275
8,20.5,14.0,17.6,16,282
8,20.2,13.6,17.2,16,275
8,22.1,15.4,19.1,15,306
8,21.3,14.1,18.1,16,290
8,20.6,13.6,17.5,16,280
8,20.6,13.6,17.5,16,280
4,15.2,10.2,12.9,22,206
4,15.9,11.0,13.7,21,219
6,11.2,8.4,9.9,29,267
6,17.7,13.0,15.6,18,250
4,14.2,9.9,12.2,23,195
8,25.0,16.9,21.4,13,342
8,25.0,16.9,21.4,13,342
8,24.0,16.6,20.7,14,331
4,8.6,5.9,7.4,38,200
6,13.6,10.0,12.0,24,324
4,9.6,7.0,8.5,33,230
6,11.8,8.5,10.3,27,278
6,11.8,8.1,10.2,28,277
6,19.4,13.6,16.8,17,269
6,11.5,8.4,10.1,28,273
6,11.3,8.0,9.8,29,265
6,20.5,14.5,17.8,16,285
6,12.1,8.8,10.6,27,286
6,18.6,12.7,15.9,18,254
4,7.6,5.7,6.9,41,183
4,7.6,5.7,6.9,41,184
4,7.6,5.5,6.5,43,177
4,7.8,5.2,6.5,43,178
4,7.6,5.6,6.7,42,180
4,7.6,5.5,6.7,42,179
4,7.6,5.2,6.5,43,175
4,7.6,5.1,6.5,43,176
4,7.8,5.6,6.9,41,185
4,7.8,5.3,6.7,42,182
6,11.8,8.1,10.2,28,277
6,9.4,6.2,7.8,36,213
6,9.4,6.2,7.8,36,213
6,9.8,6.5,8.4,34,224
6,10.2,7.8,9.0,31,244
4,7.7,5.7,6.8,42,183
4,7.7,5.7,6.8,42,183
6,9.2,6.3,7.9,36,212
4,8.6,6.9,7.9,36,211
6,10.0,7.6,8.9,32,233
6,18.7,12.4,15.8,18,260
6,18.5,12.5,15.8,18,263
4,10.8,7.7,9.4,30,252
4,12.0,8.2,10.3,27,277
4,15.6,10.8,13.4,21,221
4,16.3,11.6,14.2,20,236
6,17.0,11.5,14.5,19,239
6,15.2,9.5,12.7,22,213
6,19.3,14.4,17.1,17,284
8,19.9,14.0,17.2,16,286
6,20.3,15.3,18.1,16,301
8,20.5,14.4,17.8,16,295
8,20.5,14.0,17.6,16,288
8,22.2,15.3,19.1,15,317
8,20.5,14.0,17.6,16,288
8,20.9,14.5,18.0,16,300
4,13.6,8.5,11.3,25,186
6,16.5,10.1,13.6,21,225
6,16.9,10.8,14.1,20,232
6,16.8,10.3,13.9,20,229
6,17.3,11.7,14.8,19,243
6,19.7,13.3,16.8,17,279
6,18.7,12.4,15.9,18,264
6,16.8,10.3,13.9,20,229
6,17.3,11.7,14.8,19,243
4,13.3,9.3,11.5,25,187
6,19.2,13.1,16.4,17,269
6,18.9,12.9,16.2,17,270
6,18.7,12.9,16.1,18,264
6,19.7,14.1,17.2,16,282
6,17.9,13.0,15.7,18,261
8,20.6,14.3,17.8,16,292
8,20.6,14.3,17.8,16,293
6,19.1,14.3,16.9,17,278
8,21.6,15.1,18.7,15,306
8,21.8,15.3,18.8,15,310
4,11.9,8.3,10.3,27,170
4,12.1,8.6,10.5,27,175
4,12.3,8.9,10.8,26,179
6,23.1,18.6,21.0,13,345
6,17.6,11.6,14.9,19,248
6,18.7,13.3,16.3,17,271
4,16.1,11.8,14.2,20,233
4,16.8,12.0,14.6,19,240
4,16.8,12.0,14.6,19,240
4,10.8,7.7,9.4,30,252
4,12.0,8.2,10.3,27,277
6,19.3,14.4,17.1,17,284
8,19.9,14.0,17.2,16,286
6,20.3,15.3,18.1,16,301
8,20.5,14.4,17.8,16,295
4,15.6,10.8,13.4,21,221
8,20.5,14.0,17.6,16,288
8,20.9,14.5,18.0,16,300
8,20.5,14.0,17.6,16,288
8,22.2,15.3,19.1,15,317
4,15.2,10.2,12.9,22,213
4,15.9,11.0,13.7,21,226
6,11.2,8.4,9.9,29,267
4,14.2,9.9,12.2,23,201
6,10.6,8.1,9.4,30,254
6,10.6,8.1,9.4,30,254
4,13.1,9.8,11.6,24,198
4,8.6,6.0,7.4,38,200
6,13.6,10.0,12.0,24,322
6,10.1,8.0,9.2,31,246
6,10.4,8.2,9.4,30,253
6,11.2,8.4,9.8,29,270
6,19.4,13.6,16.8,17,279
6,11.6,8.4,10.2,28,272
6,11.3,8.0,9.8,29,264
6,20.5,14.5,17.8,16,296
6,12.1,8.8,10.6,27,283
6,11.2,8.4,9.8,29,270
4,7.9,5.9,7.0,40,189
4,7.9,5.9,7.0,40,189
4,8.7,7.1,8.0,35,211
6,10.3,8.0,9.3,30,249
4,10.8,7.9,9.5,30,255
4,12.1,8.4,10.4,27,280
4,12.5,10.7,11.7,24,315
4,7.6,5.0,6.4,44,172
4,7.7,4.5,6.3,45,169
4,15.6,11.0,13.6,21,223
4,16.3,11.8,14.2,20,234
6,17.0,11.7,14.6,19,240
6,19.3,14.3,17.1,17,284
8,19.7,13.9,17.1,17,284
6,20.2,15.2,18.0,16,294
8,20.7,14.4,17.9,16,315
8,20.0,13.5,17.1,17,284
8,22.1,15.4,19.1,15,317
8,20.0,13.5,17.1,17,284
8,20.8,14.5,18.0,16,299
4,13.9,8.9,11.7,24,192
6,16.8,10.4,13.9,20,230
6,17.1,11.1,14.4,20,237
6,17.6,12.0,15.0,19,248
6,17.6,12.0,15.0,19,248
6,19.4,13.3,16.7,17,274
6,19.1,13.2,16.4,17,274
4,15.2,10.8,13.3,21,219
6,18.7,12.9,16.1,18,264
6,19.6,14.2,17.2,16,284
6,17.9,13.2,15.8,18,258
8,20.5,14.3,17.7,16,291
8,20.5,14.3,17.7,16,291
6,19.0,14.3,16.9,17,281
8,21.5,15.1,18.6,15,305
8,21.5,15.1,18.6,15,306
8,22.2,16.5,19.6,14,326
4,12.2,8.8,10.6,27,177
4,12.4,9.1,10.9,26,182
4,12.9,9.5,11.4,25,188
6,23.0,18.5,20.9,14,343
6,17.6,11.7,15.0,19,249
6,18.7,13.4,16.3,17,271
4,16.1,11.9,14.2,20,234
4,16.8,12.1,14.7,19,242
4,10.8,7.9,9.5,30,255
4,12.1,8.4,10.4,27,280
6,19.3,14.3,17.1,17,284
8,19.7,13.9,17.1,17,284
6,20.3,15.2,18.0,16,294
8,20.7,14.4,17.9,16,317
4,15.6,11.0,13.6,21,223
8,20.0,13.5,17.1,17,284
8,20.8,14.5,18.0,16,299
8,20.0,13.5,17.1,17,284
8,22.1,15.4,19.1,15,317
4,7.8,5.8,6.9,41,186
4,7.8,5.8,6.9,41,186
4,14.4,10.2,12.5,23,206
4,13.6,10.0,12.0,24,128
6,19.7,13.8,17.0,17,283
6,11.8,8.6,10.4,27,278
6,20.7,14.7,18.0,16,300
6,12.3,8.8,10.8,26,289
4,7.8,5.9,7.0,40,184
4,7.8,5.9,7.0,40,184
6,10.3,8.0,9.3,30,246
4,10.8,8.0,9.6,29,257
4,12.1,8.3,10.4,27,279
4,12.5,10.7,11.7,24,315
4,7.7,5.0,6.5,43,175
4,7.8,4.6,6.3,45,170
4,7.8,5.2,6.6,43,178
4,8.1,4.9,6.7,42,180
4,8.5,6.0,7.4,38,198
4,8.5,6.1,7.4,38,198
6,17.2,11.6,14.6,19,245
6,19.3,14.4,17.1,17,284
8,19.7,13.9,17.1,17,283
6,20.2,15.2,18.0,16,296
8,21.0,15.0,18.3,15,309
8,19.8,13.9,17.2,16,285
8,22.3,15.7,19.3,15,321
8,19.8,13.9,17.2,16,285
8,20.8,14.5,18.0,16,299
6,17.1,10.6,14.2,20,234
6,17.6,12.0,15.0,19,248
6,17.6,12.0,15.0,19,248
6,18.9,12.7,16.1,18,268
6,17.1,10.6,14.2,20,234
6,17.6,12.0,15.0,19,248
6,19.4,13.3,16.7,17,274
6,19.1,13.2,16.4,17,274
4,15.2,10.9,13.3,21,219
6,18.7,13.0,16.2,17,269
6,19.7,14.3,17.3,16,288
6,10.8,8.0,9.5,30,256
6,10.8,8.4,9.7,29,260
6,16.8,12.7,14.9,19,248
6,16.8,12.7,14.9,19,248
8,20.2,14.0,17.4,16,288
8,20.2,14.0,17.4,16,288
8,20.3,14.0,17.4,16,288
6,11.8,9.3,10.7,26,288
6,11.8,9.3,10.7,26,288
6,11.2,8.4,9.9,29,266
6,17.6,13.7,15.8,18,263
6,17.5,13.7,15.8,18,262
8,20.0,15.6,18.0,16,300
8,20.0,15.6,18.0,16,300
8,21.4,17.2,19.5,14,325
6,17.6,11.7,15.0,19,249
6,18.7,13.4,16.3,17,271
4,16.2,11.9,14.3,20,234
4,16.8,12.1,14.7,19,241
4,10.8,8.0,9.6,29,257
4,12.1,8.3,10.4,27,279
6,19.3,14.4,17.1,17,284
8,19.7,13.9,17.0,17,283
6,20.2,15.2,18.0,16,296
8,21.0,15.0,18.3,15,309
4,8.5,6.0,7.4,38,198
4,8.5,6.1,7.4,38,198
8,19.8,13.9,17.2,16,285
8,20.8,14.5,18.0,16,299
8,19.8,13.9,17.2,16,285
8,22.3,15.7,19.3,15,321
4,8.9,7.2,8.1,35,218
4,7.8,5.8,6.9,41,186
4,7.8,5.8,6.9,41,186
4,15.5,10.5,13.3,21,218
4,16.3,11.3,14.0,20,231
6,11.2,8.5,10.0,28,268
4,14.4,10.2,12.5,23,206
4,9.2,7.8,8.5,33,229
6,19.7,13.8,17.0,17,283
6,11.8,8.6,10.4,27,278
6,20.7,14.7,18.0,16,300
6,12.3,8.8,10.8,26,289
4,11.8,7.9,10.1,28,270
4,12.2,8.4,10.5,27,283
4,13.3,10.6,12.1,23,326
4,7.6,4.9,6.4,44,172
4,7.8,5.2,6.6,43,178
4,8.5,6.0,7.4,38,199
4,8.5,6.1,7.4,38,199
6,17.2,11.6,14.6,19,245
8,21.1,15.0,18.4,15,306
8,22.0,16.1,19.3,15,322
8,21.2,13.9,17.9,16,298
8,22.2,15.2,19.0,15,317
8,21.2,13.9,17.9,16,298
8,21.7,14.3,18.4,15,305
6,17.1,10.6,14.2,20,234
6,17.6,12.0,15.0,19,248
6,18.9,12.7,16.1,18,268
6,17.1,10.6,14.2,20,234
6,17.6,12.0,15.0,19,248
6,19.4,13.3,16.7,17,274
6,19.1,13.2,16.4,17,274
4,15.0,10.8,13.1,22,218
6,19.8,14.3,17.3,16,288
6,10.8,8.0,9.5,30,256
6,10.8,8.4,9.7,29,260
6,16.7,12.6,14.9,19,247
6,16.7,12.6,14.9,19,247
8,20.3,14.0,17.4,16,290
8,20.3,14.0,17.5,16,290
8,20.4,14.0,17.5,16,291
6,11.8,9.3,10.7,26,287
6,11.8,9.3,10.7,26,287
6,11.2,8.3,9.9,29,266
6,17.5,13.8,15.8,18,263
6,17.5,13.7,15.8,18,263
8,20.0,15.6,18.0,16,300
8,20.0,15.6,18.0,16,300
8,21.3,17.2,19.5,14,323
6,17.8,12.1,15.2,19,254
6,18.5,13.0,16.0,18,267
4,13.3,11.8,12.6,22,209
4,13.7,11.1,12.5,23,208
4,11.8,7.9,10.1,28,270
4,12.2,8.4,10.5,27,283
8,21.1,15.0,18.4,15,306
8,22.0,16.1,19.4,15,323
4,8.5,6.0,7.4,38,199
4,8.5,6.1,7.4,38,199
8,21.2,13.9,17.9,16,298
8,21.7,14.3,18.4,15,305
8,21.2,13.9,17.9,16,298
8,22.2,15.2,19.0,15,317
4,8.9,7.2,8.1,35,218
4,7.8,5.8,6.9,41,186
4,7.8,5.8,6.9,41,186
6,11.2,8.5,10.0,28,268
6,11.3,9.2,10.4,27,279
6,10.7,8.3,9.6,29,256
6,10.7,8.3,9.6,29,256
4,9.2,7.8,8.5,33,229
4,8.9,7.9,8.4,34,227
6,11.8,8.6,10.4,27,278
6,19.7,13.8,17.0,17,283
6,12.3,8.8,10.8,26,289
6,20.7,14.7,18.0,16,300
4,11.8,7.9,10.1,28,270
4,12.3,8.5,10.6,27,284
4,13.3,10.6,12.1,23,326
6,17.2,11.6,14.7,19,246
6,10.2,7.2,8.9,32,238
8,22.2,16.2,19.5,14,326
6,10.4,8.0,9.4,30,252
8,22.3,18.1,20.5,14,342
8,21.2,13.9,17.9,16,298
8,22.2,15.3,19.1,15,319
8,21.2,13.9,17.9,16,298
8,21.7,14.3,18.4,15,305
6,11.1,8.3,9.8,29,264
6,11.1,8.3,9.8,29,264
6,16.6,12.6,14.8,19,245
8,20.0,14.8,17.6,16,293
8,20.0,14.9,17.7,16,294
8,19.9,15.8,18.0,16,300
6,11.9,9.4,10.8,26,290
6,11.3,8.5,10.0,28,270
6,17.6,13.8,15.9,18,265
8,20.3,14.7,17.8,16,296
6,21.5,16.2,19.1,15,316
6,22.1,16.8,19.8,14,328
4,13.3,11.8,12.6,22,209
4,13.7,11.1,12.5,23,208
4,11.8,7.9,10.1,28,270
4,12.3,8.5,10.6,27,284
6,10.2,7.8,9.1,31,245
8,22.2,16.2,19.5,14,326
6,10.5,9.1,9.9,29,265
6,10.5,9.1,9.9,29,265
8,21.8,16.8,19.5,14,325
8,21.2,13.9,17.9,16,298
8,21.7,14.3,18.4,15,305
8,21.2,13.9,17.9,16,298
8,22.2,15.3,19.1,15,319
6,10.6,8.1,9.5,30,255
6,11.3,9.2,10.4,27,279
6,10.7,8.3,9.6,29,256
6,10.7,8.3,9.6,29,256
6,10.5,7.3,9.0,31,243
6,11.1,8.0,9.7,29,260
